week_ending,hb,hbqf,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation,wk_ending_yr_month,wk_ending_month,wk_ending_year,year_quarter,total_admissions_per_month_simd,admissions_2018_19_per_month_simd,total_admissions_per_quarter_simd,admissions_2018_19_per_quarter_simd
2020-01-12,S08000022,NA,1,Emergency,NA,89,77.5,14.8,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000022,NA,2,Emergency,NA,122,120,1.7,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000022,NA,3,Emergency,NA,208,210.5,-1.2,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000022,NA,4,Emergency,NA,152,149.5,1.7,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000022,NA,5,Emergency,NA,43,32,34.4,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000024,NA,1,Emergency,NA,289,287.5,0.5,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000024,NA,2,Emergency,NA,511,428.5,19.3,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000024,NA,3,Emergency,NA,321,304,5.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000024,NA,4,Emergency,NA,298,237.5,25.5,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000024,NA,5,Emergency,NA,351,355,-1.1,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000025,NA,3,Emergency,NA,7,6,16.7,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000025,NA,4,Emergency,NA,19,17.5,8.6,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000026,NA,3,Emergency,NA,11,13.5,-18.5,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000026,NA,4,Emergency,NA,13,24,-45.8,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000028,NA,2,Emergency,NA,10,12,-16.7,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000028,NA,3,Emergency,NA,58,46,26.1,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000029,NA,1,Emergency,NA,222,223,-0.4,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000029,NA,2,Emergency,NA,216,203,6.4,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000029,NA,3,Emergency,NA,149,158.5,-6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000029,NA,4,Emergency,NA,131,134.5,-2.6,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000029,NA,5,Emergency,NA,92,97,-5.2,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000030,NA,1,Emergency,NA,217,233.5,-7.1,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000030,NA,2,Emergency,NA,192,209.5,-8.4,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000030,NA,3,Emergency,NA,197,208,-5.3,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000030,NA,4,Emergency,NA,256,254.5,0.6,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000030,NA,5,Emergency,NA,147,149.5,-1.7,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000031,NA,1,Emergency,NA,1214,1171,3.7,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000031,NA,2,Emergency,NA,526,529,-0.6,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000031,NA,3,Emergency,NA,375,334.5,12.1,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000031,NA,4,Emergency,NA,317,301.5,5.1,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000031,NA,5,Emergency,NA,333,356,-6.5,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000032,NA,1,Emergency,NA,549,532,3.2,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000032,NA,2,Emergency,NA,420,445,-5.6,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000032,NA,3,Emergency,NA,265,267.5,-0.9,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000032,NA,4,Emergency,NA,196,194,1,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000032,NA,5,Emergency,NA,124,124.5,-0.4,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S92000003,d,1,Emergency,NA,3288,3322,-1,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S92000003,d,2,Emergency,NA,2720,2845,-4.4,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S92000003,d,3,Emergency,NA,2303,2450,-6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S92000003,d,4,Emergency,NA,1977,2032.5,-2.7,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S92000003,d,5,Emergency,NA,1546,1603.5,-3.6,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000015,NA,1,Emergency,NA,338,422,-19.9,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S08000015,NA,2,Emergency,NA,255,268,-4.9,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000015,NA,3,Emergency,NA,158,182.5,-13.4,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000015,NA,4,Emergency,NA,114,125.5,-9.2,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000015,NA,5,Emergency,NA,86,95.5,-9.9,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000016,NA,1,Emergency,NA,12,17,-29.4,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S08000016,NA,2,Emergency,NA,35,39.5,-11.4,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000016,NA,3,Emergency,NA,89,94.5,-5.8,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000016,NA,4,Emergency,NA,62,55,12.7,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000016,NA,5,Emergency,NA,12,11,9.1,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000017,NA,1,Emergency,NA,39,39.5,-1.3,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-19,S08000017,NA,2,Emergency,NA,85,115,-26.1,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-19,S08000017,NA,3,Emergency,NA,116,129.5,-10.4,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-19,S08000017,NA,4,Emergency,NA,71,44.5,59.6,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-19,S08000017,NA,5,Emergency,NA,26,27,-3.7,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-19,S08000019,NA,1,Emergency,NA,126,249,-49.4,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
