year_quarter,region,attendances
2020Q2,NHS Western Isles,288
2020Q3,NHS Ayrshire & Arran,4178.666666666667
2020Q3,NHS Borders,2481.3333333333335
2020Q3,NHS Dumfries & Galloway,1796.1666666666667
2020Q3,NHS Fife,4967
2020Q3,NHS Forth Valley,4141.333333333333
2020Q3,NHS Grampian,2510.1111111111113
2020Q3,NHS Greater Glasgow & Clyde,5072.833333333333
2020Q3,NHS Highland,1231.6666666666667
2020Q3,NHS Lanarkshire,5362.555555555556
2020Q3,NHS Lothian,5738.222222222223
2020Q3,NHS Orkney,497.6666666666667
2020Q3,NHS Shetland,503.3333333333333
2020Q3,NHS Tayside,3065
2020Q3,NHS Western Isles,415
2020Q4,NHS Ayrshire & Arran,3079.3333333333335
2020Q4,NHS Borders,2095.6666666666665
2020Q4,NHS Dumfries & Galloway,1471.8333333333333
2020Q4,NHS Fife,4252.333333333333
2020Q4,NHS Forth Valley,3665
2020Q4,NHS Grampian,2184.8888888888887
2020Q4,NHS Greater Glasgow & Clyde,4604.388888888889
2020Q4,NHS Highland,1001.0833333333334
2020Q4,NHS Lanarkshire,4638.777777777777
2020Q4,NHS Lothian,5085.666666666667
2020Q4,NHS Orkney,425
2020Q4,NHS Shetland,433.6666666666667
2020Q4,NHS Tayside,2491.1666666666665
2020Q4,NHS Western Isles,353.3333333333333
2021Q1,NHS Ayrshire & Arran,2681.3333333333335
2021Q1,NHS Borders,1935
2021Q1,NHS Dumfries & Galloway,1098.5
2021Q1,NHS Fife,3889
2021Q1,NHS Forth Valley,3713.3333333333335
2021Q1,NHS Grampian,1797.888888888889
2021Q1,NHS Greater Glasgow & Clyde,4339.611111111111
2021Q1,NHS Highland,845.5
2021Q1,NHS Lanarkshire,4468.888888888889
2021Q1,NHS Lothian,4656.555555555556
2021Q1,NHS Orkney,349.6666666666667
2021Q1,NHS Shetland,394.3333333333333
2021Q1,NHS Tayside,2131
2021Q1,NHS Western Isles,234.33333333333334
2021Q2,NHS Ayrshire & Arran,4044.6666666666665
2021Q2,NHS Borders,2552
2021Q2,NHS Dumfries & Galloway,1706
2021Q2,NHS Fife,5412.666666666667
2021Q2,NHS Forth Valley,4956.666666666667
2021Q2,NHS Grampian,2531
2021Q2,NHS Greater Glasgow & Clyde,6026.444444444444
2021Q2,NHS Highland,1249.4166666666667
2021Q2,NHS Lanarkshire,6073
2021Q2,NHS Lothian,6456.555555555556
2021Q2,NHS Orkney,478.3333333333333
2021Q2,NHS Shetland,521
2021Q2,NHS Tayside,3103.5
2021Q2,NHS Western Isles,370
2021Q3,NHS Ayrshire & Arran,4155.833333333333
2021Q3,NHS Borders,2572.6666666666665
2021Q3,NHS Dumfries & Galloway,1965.1666666666667
2021Q3,NHS Fife,5296.666666666667
2021Q3,NHS Forth Valley,5320
2021Q3,NHS Grampian,2666.222222222222
2021Q3,NHS Greater Glasgow & Clyde,6208.722222222223
2021Q3,NHS Highland,1417.3333333333333
2021Q3,NHS Lanarkshire,6014.444444444444
2021Q3,NHS Lothian,6843.777777777777
2021Q3,NHS Orkney,549.6666666666666
2021Q3,NHS Shetland,586.3333333333334
2021Q3,NHS Tayside,3372.8333333333335
2021Q3,NHS Western Isles,418.6666666666667
2021Q4,NHS Ayrshire & Arran,3554.6666666666665
2021Q4,NHS Borders,2278
2021Q4,NHS Dumfries & Galloway,1646.5
2021Q4,NHS Fife,4983
2021Q4,NHS Forth Valley,4771.333333333333
2021Q4,NHS Grampian,2458.8888888888887
2021Q4,NHS Greater Glasgow & Clyde,5601.666666666667
2021Q4,NHS Highland,1178.9166666666667
2021Q4,NHS Lanarkshire,5272.333333333333
2021Q4,NHS Lothian,6303
2021Q4,NHS Orkney,457
2021Q4,NHS Shetland,571
2021Q4,NHS Tayside,3070.1666666666665
2021Q4,NHS Western Isles,327.6666666666667
2022Q1,NHS Ayrshire & Arran,3244.5
2022Q1,NHS Borders,2142
2022Q1,NHS Dumfries & Galloway,1482
2022Q1,NHS Fife,4795
2022Q1,NHS Forth Valley,4416
2022Q1,NHS Grampian,2423.6666666666665
2022Q1,NHS Greater Glasgow & Clyde,5178.333333333333
2022Q1,NHS Highland,1101.25
2022Q1,NHS Lanarkshire,5093.666666666667
2022Q1,NHS Lothian,5721
2022Q1,NHS Orkney,478
2022Q1,NHS Shetland,541
2022Q1,NHS Tayside,2868
2022Q1,NHS Western Isles,322
